id,name,city,address_1,address_2,lat,lon
1206687,"The Grove Spot","Coconut Grove","3324 Virginia Street",,25.728859,-80.241515
12067332,"AT&T Conference Center","Austin","1900 University Ave",,30.282404,-97.740341
12093572,"Exploratorium","San Francisco","15/17 Pier",,37.800995,-122.399307
1211233,"Exygy","San Francisco","576 Natoma St",,37.778966,-122.409508
12121442,"Say Media","San Francisco","180 Townsend St",,37.779285,-122.392517
12182762,"Automattic's New Home","San Francisco","132 Hawthorne Lane",,37.784069,-122.397202
12215832,"cafe strada","Berkeley","across bancroft st",,37.866623,-122.275345
12256422,"Metamarkets","San Francisco","625 2nd St #230",,37.78169,-122.39106
12262482,"Velti SF Office","San Francisco","1 Market Street | Steuart Tower | 6th Floor",,37.774929,-122.419418
12263462,"RichRelevance","San Francisco","633 Folsom Street, 4th Floor ",,37.784691,-122.397369
1226374,"Hub Berkeley","Berkeley"," 2150 Allston Way","Suite 400",37.869551,-122.266638
12271612,"Google Mountain View, Building CL2","Mountain View","1200 Crittenden Lane",,37.425854,-122.072342
12290522,"Pandora HQ","Oakland","2101 Webster Street, Suite 1650",,37.810242,-122.2659
12294412,"Dogpatch Studios","San Francisco","991 Tennessee St",,37.759876,-122.389325
12330742,"Yelp Headquarters","San Francisco","706 Mission St.",,37.786011,-122.402534
12341002,"Lafayette Library - Contra Costa County Library","Lafayette","3491 Mount Diablo Boulevard",,37.892193,-122.116158
12357972,"Runway (Twitter Building)","San Francisco","1355 Market St, 4th Floor, Suite 488 ",,37.776245,-122.417923
12369342,"SFJAZZ Center","San Francisco","201 Franklin Street",,37.776165,-122.421188
12370832,"Slalom Consulting","Palo Alto","380 University Ave",,37.446766,-122.160378
12395142,"Neo4j San Mateo","San Mateo","111 E 5th Avenue",,37.563484,-122.322334
1240829,"Cityscape Bar and Restaurant @ Hilton Hotel","San Francisco","333 O'Farrell St",,37.785792,-122.410805
1241734,"Salesforce","San Francisco","1 Market St.",,37.794101,-122.39511
12490322,"Lever","San Francisco","425 Bush St, Suite 435",,37.790413,-122.40448
12491612,"SF Caltrain Station","San Francisco","4th & King",,37.776394,-122.394203
1254986,"Twilio","San Francisco","501 Folsom Street",,37.786958,-122.394462
12565052,"Santa Clara Convention Center","Santa Clara","5001 Great America Parkway",,37.403713,-121.975609
1258203,"Osha Thai Restaurant on 3rd","San Francisco","311 3rd St",,37.78368,-122.398777
12582292,"Hack Reactor","San Francisco","944 Market St",,37.783546,-122.408951
12746622,"SquareTrade","San Francisco","360 3rd Street - 6th Floor",,37.782978,-122.397995
12747962,"Hacker Dojo (new location)","Mountain View","599 Fairchild Drive ",,37.402935,-122.04985
12766202,"Folsom Street Foundry","San Francisco","1425 Folsom St.",,37.772488,-122.413055
12799062,"Microsoft San Francisco (in Westfield Mall where Powell meets Market Street)","San Francisco","835 Market StreetGolden Gate Rooms - 7th Floor",,37.774929,-122.419418
12804962,"Chawla Ventures","Santa Clara","3200 Coronado Drive",,37.379658,-121.975151
1286088,"The Creamery","San Francisco","685 4th Street","at Townsend",37.777251,-122.395153
1286476,"BlackRock","San Francisco","400 Howard Street",,37.789239,-122.395174
12872302,"DarnGoodFoods","San Francisco","322 Kearny Street",,37.791183,-122.404144
12888292,"The Fairmont San Francisco Hotel, 950 Mason St, San Francisco, CA 94108","San Francisco","The Fairmont San Francisco Hotel, 950 Mason St, San Francisco, CA 94108",,37.790943,-122.408501
12889562,"IDEO","San Francisco","28 Pier  San Francisco, CA 94105",,37.788105,-122.387421
12964362,"SOMAcentral","San Francisco","450 Townsend Street",,37.774467,-122.398552
13059642,"Ayasdi Inc","Palo Alto","636 Ramona Street",,37.443905,-122.160416
13060782,"PRIME","San Francisco","2325 Third Street (@20th), Suite 231 - 2nd Floor",,37.760059,-122.388306
13069252,"Palace Hotel","San Francisco","2 New Montgomery Street",,37.78817,-122.401733
1307506,"PayPal Head Quarters","San Jose","2211 N. 1st St. Building 12 Town Hall ",,37.3772,-121.923008
13081542,"Paypal (TownHall Bldg)","San Jose","2161 North First St.",,37.376919,-121.921509
13088352,"Sky Bar & Lounge","San Francisco","1 Ferry Plaza",,37.766834,-122.324905
1312102,"NextSpace Coworking San Francisco","San Francisco","28 2nd Street, 3rd Floor","the corner of 2nd and Market",37.78877,-122.401188
13154142,"San Francisco State University Downtown Campus","San Francisco","835 Market Street",,37.785011,-122.40654
13173722,"HP Auditorium and Executive Briefing Center, Bldg 20","Palo Alto","3000 Hanover St, ",,37.415588,-122.146515
13180842,"Drawbridge, Inc.","San Mateo","2121 South El Camino Real",,37.547569,-122.307762
13204182,"Southside Spirit House","San Francisco","575 Howard St.",,37.787106,-122.397423
13270292,"Yammer Inc","San Francisco","1355 Market Street",,37.776409,-122.417732
13276672,"NoSQL Roadshow, We Work Building","San Francisco","156 Second St",,37.787251,-122.399048
13282292,"DocuSign ","San Francisco","221 Main St, 10th Floor ",,37.790253,-122.392387
1329663,"Facebook Headquarter","Palo Alto","1050 Page Mill Road, Building 2",,37.419488,-122.146608
13323052,"Capital One 360 Café - San Francisco","San Francisco","101 Post St.",,37.788731,-122.403877
13336732,"AdRoll HQ","San Francisco","972 Mission St, 1st Floor",,37.781704,-122.408478
13347922,"Frances C. Arrillaga Alumni Center","Stanford","Arrillaga Alumni Center, 326 Galvez Street",,37.431,-122.16468
1335962,"Microsoft Research","Mountain View","1288 Pear Ave",,37.415472,-122.075551
13361862,"This Moment","San Francisco","222 Kearny Street",,37.790195,-122.403809
1337958,"4 Dwinelle Hall","Berkeley","4 Dwinelle Hall","UC Berkeley Campus",37.870637,-122.260515
13402632,"Hilton San Francisco Union Square","San Francisco","333 O'Farrell Street",,37.548294,-122.314873
13403892,"ONLINE WEBINAR","Palo Alto","Register on Link Below",,37.441883,-122.143021
13405872,"Atlassian","San Francisco","1098 Harrison Street",,37.776031,-122.405983
13427442,"Hotel Nikko San Francisco","San Francisco","222 Mason Street",,37.786098,-122.409081
13442452,"SAP","Palo Alto","3410 Hillview Avenue (Southern Cross Room)",,37.441883,-122.143021
1345303,"Kaffeehaus","San Mateo","92 East Third Avenue",,37.563885,-122.324185
13464772,"501 Forest Ave, Palo Alto, CA 94301","Palo Alto","501 Forest Ave, Palo Alto, CA 94301",,37.447346,-122.15654
13466912,"Say Media Inc","San Francisco","180 Townsend Street",,37.779285,-122.392517
13491232,"Scalr office, Stuart tower, 5th floor","San Francisco","One Market St at the Embarcadero",,37.791054,-122.399185
13491312,"Scalr office, Steuart tower, 5th floor","San Francisco","One Market St at the Embarcadero",,37.791054,-122.399185
1350475,"Chaat Cafe","San Francisco","320 3rd Street",,37.782993,-122.397972
13558242,"Downtown Palo Alto","Palo Alto","University Avenue",,37.45583,-122.151146
13613452,"New Relic","San Francisco","188 Spear Street",,37.791443,-122.392723
1362248,"Woody's Cafe","Oakland ","1841 Park Blvd.",,37.799838,-122.250453
1364067,"Hawaii West","San Francisco","729 Vallejo St","between Emery Ln & Stockton St",37.798455,-122.409668
13680892,"Twilio HQ","San Francisco","645 Harrison St. 3rd Floor",,37.783573,-122.395958
13710842,"Novela","San Francisco","662 Mission St",,37.787052,-122.401222
13724772,"tagged","san francisco","848 battery street",,37.799313,-122.401077
